year,reg_1,reg_2,metropolitan,pop,pop_under15,pop_15~64,pop_over65,age_mean,age_median,pop_c,distance_1,distance_2,distance_3,pop_c_m,pop_c_w,single_transit,walk,car,bus,bus_c,bus_e,metro,train,taxi,bicycle,etc,multi_transit,time_15,time_60~90,time_90~120,time_120,nc_car_dis,c_car_dis,pt_n,pt_c,trans_n,trans_tt,trans_wt
2015,서울,종로구,Y,161521,14830,123715,22976,41.6,41.7,91286,42875,33821,6736,49990,41296,79827,31825,13929,15260,1073,307,14723,200,332,408,1770,11459,19612,14430,2813,1831,31.5,115.1,9.9,63295,1.5,6.3,7
2015,서울,중구,Y,128478,11785,98091,18602,42.4,42.4,71463,34444,25847,4865,39433,32030,65183,26780,9503,5871,610,208,20036,111,400,322,1342,6280,16525,7699,1653,876,34.2,88.9,9.9,63295,1.5,6.3,7
2015,서울,용산구,Y,227282,25559,169448,32275,41.6,41.5,126251,49195,55996,12856,69459,56792,108345,30222,26858,24575,1972,461,20263,510,1011,567,1906,17906,20344,19795,4112,1927,31.3,99.7,9.9,63295,1.5,6.3,7
2015,서울,성동구,Y,295006,33524,224772,36710,40.6,40.4,173794,63614,83364,16505,97662,76132,151757,41457,31838,17049,2074,702,51315,168,795,3404,2955,22037,27802,26346,5592,2855,32.7,111,9.9,63295,1.5,6.3,7
2015,서울,광진구,Y,368199,38912,289875,39412,39.7,38.9,222740,82624,104367,22981,122292,100448,196793,57405,35928,22573,3542,1318,67229,88,626,5099,2985,25947,37575,39955,6900,3580,32.5,117.8,9.9,63295,1.5,6.3,7
2015,서울,동대문구,Y,364787,38317,276197,50273,41,40.5,209380,87380,89426,17912,117654,91726,183424,61897,35770,31984,2406,569,42471,332,776,3428,3791,25956,40752,38830,8033,3706,31.5,117.9,9.9,63295,1.5,6.3,7
2015,서울,중랑구,Y,403237,44287,306394,52556,41.5,42.3,237199,88317,107009,28241,134501,102698,206868,56987,43809,35634,2933,719,57081,147,816,3884,4858,30331,36286,53711,11721,4983,32.6,125.4,9.9,63295,1.5,6.3,7
2015,서울,성북구,Y,456844,55778,340456,60610,40.3,40.3,265548,97574,127197,22526,146138,119410,226205,63450,49040,49203,3672,603,52820,394,707,1778,4538,39343,41127,54954,12658,5430,30,130.2,9.9,63295,1.5,6.3,7
2015,서울,강북구,Y,319992,34324,234972,50696,42.7,43.5,179941,62896,90978,16173,100139,79802,144995,38364,29661,35739,1781,495,33638,145,442,1575,3155,34946,24118,45759,12081,4959,30.7,124.6,9.9,63295,1.5,6.3,7
2015,서울,도봉구,Y,340095,39653,253204,47238,41.7,42.8,194724,70962,93521,22805,109983,84741,165496,42972,37671,25917,2129,468,50682,171,634,2752,2100,29228,28334,49186,14281,5555,30.7,127.5,9.9,63295,1.5,6.3,7
2015,서울,노원구,Y,562996,74276,422101,66619,39.9,40.9,328259,127948,139982,39340,184699,143560,286949,77669,64414,30179,4772,1076,98917,298,1028,5525,3071,41310,50803,88800,21503,8626,30.7,127.3,9.9,63295,1.5,6.3,7
2015,서울,은평구,Y,478374,59390,352273,66711,41.2,41.7,274667,94103,125196,36542,152666,122001,232603,53981,51951,41281,2741,827,73677,333,697,3248,3867,42064,33101,71276,16224,7130,31.2,135.3,9.9,63295,1.5,6.3,7
2015,서울,서대문구,Y,308768,32540,232206,44022,41,40.6,182015,70164,82293,18193,98198,83817,156471,44274,34696,42200,2293,606,27684,371,651,1189,2507,25544,28038,37410,8670,3786,30.8,136.6,9.9,63295,1.5,6.3,7
2015,서울,마포구,Y,381330,45861,289111,46358,39.8,38.9,224971,80237,99257,23845,121367,103604,193782,52494,42883,32085,2943,906,54981,578,1124,3023,2765,31189,35224,42868,8027,4216,32,115.8,9.9,63295,1.5,6.3,7
2015,서울,양천구,Y,465512,64058,352655,48799,39.6,41.2,278898,104361,118158,43535,159029,119869,236683,59417,71369,39729,5128,786,50685,460,806,5257,3046,42215,41248,64167,17578,7483,31.4,138.6,9.9,63295,1.5,6.3,7
