date,time,district,no2,o3,co,so2,pm10,pm2.5
2019-06-02,2000,강남구,0.016,0.061,0.4,0.005,28,15
2019-06-02,2100,강남구,0.022,0.05,0.7,0.004,27,16
2019-06-02,2200,강남구,0.021,0.048,0.5,0.005,28,14
2019-06-02,2300,강남구,0.019,0.047,0.4,0.004,24,13
2019-06-03,0,강남구,0.022,0.038,0.3,0.004,22,12
2019-06-03,100,강남구,0.019,0.036,0.5,0.004,20,11
2019-06-03,200,강남구,0.019,0.033,0.4,0.006,20,13
2019-06-03,300,강남구,0.022,0.028,0.3,0.005,25,15
2019-06-03,400,강남구,0.041,0.006,0.4,0.004,28,19
2019-06-03,500,강남구,0.03,0.014,0.4,0.005,28,18
2019-06-03,600,강남구,0.032,0.01,0.4,0.005,28,19
2019-06-03,700,강남구,0.041,0.004,0.4,0.005,28,18
2019-06-03,800,강남구,0.042,0.006,0.5,0.005,31,18
2019-06-03,900,강남구,0.037,0.017,0.5,0.006,31,17
2019-06-03,1000,강남구,0.037,0.025,0.5,0.005,27,15
2019-06-03,1100,강남구,0.036,0.032,0.5,0.006,30,13
2019-06-03,1200,강남구,0.031,0.043,0.4,0.005,33,17
2019-06-03,1300,강남구,0.022,0.057,0.4,0.006,36,19
2019-06-03,1400,강남구,,,,,,
2019-06-03,1500,강남구,,,,,,
2019-06-03,1600,강남구,0.016,0.064,0.3,0.004,16,10
2019-06-03,1700,강남구,0.019,0.075,0.4,0.005,52,26
2019-06-03,1800,강남구,0.027,0.071,0.4,0.005,39,25
2019-06-03,1900,강남구,0.02,0.083,0.4,0.006,45,32
2019-06-03,2000,강남구,0.02,0.079,0.4,0.005,44,29
2019-06-03,2100,강남구,0.023,0.068,0.4,0.004,44,31
2019-06-03,2200,강남구,0.031,0.047,0.5,0.006,43,28
2019-06-03,2300,강남구,0.034,0.024,0.7,0.006,39,24
2019-06-04,0,강남구,0.024,0.03,0.5,0.005,24,16
2019-06-04,100,강남구,0.025,0.027,0.6,0.005,23,14
2019-06-04,200,강남구,0.022,0.028,0.5,0.004,22,14
2019-06-04,300,강남구,0.022,0.026,0.4,0.005,23,17
2019-06-04,400,강남구,0.018,0.029,0.4,0.004,23,16
2019-06-04,500,강남구,0.027,0.018,0.4,0.005,25,16
2019-06-04,600,강남구,0.035,0.009,0.4,0.006,28,19
2019-06-04,700,강남구,0.032,0.016,0.5,0.005,27,21
2019-06-04,800,강남구,0.025,0.03,0.5,0.007,24,17
2019-06-04,900,강남구,0.025,0.029,0.4,0.006,26,14
2019-06-04,1000,강남구,0.02,0.032,0.4,0.007,19,12
2019-06-04,1100,강남구,0.021,0.034,0.4,0.005,19,12
2019-06-04,1200,강남구,0.016,0.047,0.3,0.005,21,13
2019-06-04,1300,강남구,0.01,0.051,0.3,0.006,22,15
2019-06-04,1400,강남구,0.014,0.047,0.3,0.004,20,14
2019-06-04,1500,강남구,0.012,0.042,0.3,0.006,20,10
2019-06-04,1600,강남구,0.013,0.039,0.2,0.005,21,13
2019-06-04,1700,강남구,0.014,0.035,0.2,0.005,23,16
2019-06-04,1800,강남구,0.017,0.029,0.2,0.006,22,15
2019-06-04,1900,강남구,0.017,0.024,0.2,0.006,25,17
2019-06-04,2000,강남구,0.018,0.019,0.2,0.004,23,16
2019-06-04,2100,강남구,0.02,0.017,0.3,0.004,32,18
2019-06-04,2200,강남구,0.018,0.018,0.2,0.005,20,14
2019-06-04,2300,강남구,0.018,0.018,0.3,0.004,18,14
2019-06-05,0,강남구,0.017,0.02,0.3,0.005,21,16
2019-06-05,100,강남구,0.014,0.023,0.3,0.005,30,21
2019-06-05,200,강남구,0.013,0.026,0.4,0.004,27,20
2019-06-05,300,강남구,0.013,0.024,0.4,0.004,31,22
2019-06-05,400,강남구,0.01,0.025,0.3,0.004,28,21
2019-06-05,500,강남구,0.01,0.024,0.3,0.004,30,19
2019-06-05,600,강남구,0.012,0.021,0.3,0.004,29,23
2019-06-05,700,강남구,0.016,0.017,0.3,0.004,33,23
2019-06-05,800,강남구,0.02,0.013,0.3,0.004,32,23
2019-06-05,900,강남구,0.022,0.013,0.4,0.004,39,24
2019-06-05,1000,강남구,0.025,0.014,0.4,0.005,39,27
2019-06-05,1100,강남구,0.029,0.017,0.5,0.005,41,26
2019-06-05,1200,강남구,0.032,0.014,0.5,0.006,44,27
2019-06-05,1300,강남구,0.033,0.027,0.5,0.005,46,29
2019-06-05,1400,강남구,0.03,0.058,0.4,0.005,45,29
2019-06-05,1500,강남구,0.037,0.066,0.5,0.005,56,38
2019-06-05,1600,강남구,0.032,0.055,0.6,0.006,67,47
2019-06-05,1700,강남구,0.03,0.053,0.5,0.007,68,40
2019-06-05,1800,강남구,0.029,0.055,0.4,0.005,55,37
2019-06-05,1900,강남구,0.035,0.054,0.5,0.006,54,35
2019-06-05,2000,강남구,0.035,0.054,0.6,0.006,56,40
2019-06-05,2100,강남구,0.038,0.038,0.6,0.006,,40
2019-06-05,2200,강남구,0.037,0.032,0.5,0.006,51,35
2019-06-05,2300,강남구,0.046,0.006,0.5,0.006,43,29
2019-06-06,0,강남구,0.046,0.003,0.5,0.006,32,21
2019-06-06,100,강남구,0.036,0.01,0.6,0.005,29,19
2019-06-06,200,강남구,0.017,0.021,0.4,0.004,25,16
2019-06-06,300,강남구,0.018,0.017,0.4,0.005,26,13
2019-06-06,400,강남구,0.018,0.016,0.4,0.005,23,14
2019-06-06,500,강남구,0.026,0.007,0.6,0.004,27,18
2019-06-06,600,강남구,0.028,0.005,0.6,0.005,29,20
2019-06-06,700,강남구,0.03,0.007,0.5,0.004,34,25
2019-06-06,800,강남구,0.033,0.008,0.5,0.005,37,25
2019-06-06,900,강남구,0.039,0.009,0.6,0.005,46,30
2019-06-06,1000,강남구,0.043,0.009,0.6,0.007,50,33
2019-06-06,1100,강남구,0.047,0.009,0.6,0.006,58,39
2019-06-06,1200,강남구,0.038,0.02,0.6,0.006,56,37
2019-06-06,1300,강남구,0.038,0.022,0.6,0.007,58,33
2019-06-06,1400,강남구,0.037,0.029,0.6,0.006,57,37
2019-06-06,1500,강남구,0.039,0.027,0.6,0.007,67,42
2019-06-06,1600,강남구,0.04,0.025,0.6,0.006,66,42
2019-06-06,1700,강남구,0.045,0.019,0.7,0.005,70,45
2019-06-06,1800,강남구,0.031,0.031,0.6,0.005,58,39
2019-06-06,1900,강남구,0.024,0.036,0.6,0.005,57,40
2019-06-06,2000,강남구,0.02,0.035,0.5,0.005,54,38
2019-06-06,2100,강남구,0.012,0.046,0.3,0.004,43,28
2019-06-06,2200,강남구,0.013,0.037,0.4,0.004,35,24
2019-06-06,2300,강남구,0.015,0.032,0.3,0.004,36,27
2019-06-07,0,강남구,0.011,0.037,0.3,0.005,29,22
2019-06-07,100,강남구,0.008,0.045,0.2,0.005,25,17
2019-06-07,200,강남구,0.006,0.044,0.2,0.004,23,16
2019-06-07,300,강남구,0.005,0.045,0.2,0.004,22,12
2019-06-07,400,강남구,0.004,0.042,0.2,0.004,16,10
2019-06-07,500,강남구,0.005,0.045,0.2,0.004,11,9
2019-06-07,600,강남구,0.007,0.049,0.2,0.004,7,5
2019-06-07,700,강남구,0.012,0.043,0.2,0.004,6,2
2019-06-07,800,강남구,0.012,0.049,0.3,0.005,6,4
2019-06-07,900,강남구,0.012,0.042,0.3,0.005,6,4
2019-06-07,1000,강남구,0.015,0.041,0.3,0.004,6,4
2019-06-07,1100,강남구,0.022,0.032,0.4,0.004,9,4
2019-06-07,1200,강남구,0.015,0.039,0.3,0.004,10,5
2019-06-07,1300,강남구,0.014,0.038,0.3,0.005,5,4
2019-06-07,1400,강남구,0.011,0.044,0.3,0.005,5,2
2019-06-07,1500,강남구,0.01,0.043,0.3,0.005,7,3
2019-06-07,1600,강남구,0.012,0.042,0.3,0.006,8,4
2019-06-07,1700,강남구,0.011,0.038,0.3,0.005,7,1
2019-06-07,1800,강남구,0.013,0.046,0.3,0.005,6,2
2019-06-07,1900,강남구,0.015,0.045,0.3,0.005,8,2
2019-06-07,2000,강남구,0.013,0.047,0.3,0.005,10,6
2019-06-07,2100,강남구,0.016,0.045,0.3,0.005,12,6
2019-06-07,2200,강남구,0.014,0.043,0.3,0.004,11,6
2019-06-07,2300,강남구,0.009,0.046,0.2,0.004,13,7
2019-06-08,0,강남구,0.012,0.04,0.3,0.005,12,8
2019-06-08,100,강남구,0.019,0.028,0.3,0.004,14,7
2019-06-08,200,강남구,0.016,0.029,0.4,0.004,14,9
2019-06-08,300,강남구,0.013,0.027,0.3,0.005,16,9
2019-06-08,400,강남구,0.012,0.03,0.3,0.004,16,10
2019-06-08,500,강남구,0.012,0.028,0.2,0.004,14,9
2019-06-08,600,강남구,0.015,0.027,0.2,0.006,14,9
2019-06-08,700,강남구,0.016,0.028,0.3,0.004,16,10
