"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201906022000","강남구","0.016","0.061","0.4","0.005","28","15"
"201906022100","강남구","0.022","0.05","0.7","0.004","27","16"
"201906022200","강남구","0.021","0.048","0.5","0.005","28","14"
"201906022300","강남구","0.019","0.047","0.4","0.004","24","13"
"201906030000","강남구","0.022","0.038","0.3","0.004","22","12"
"201906030100","강남구","0.019","0.036","0.5","0.004","20","11"
"201906030200","강남구","0.019","0.033","0.4","0.006","20","13"
"201906030300","강남구","0.022","0.028","0.3","0.005","25","15"
"201906030400","강남구","0.041","0.006","0.4","0.004","28","19"
"201906030500","강남구","0.03","0.014","0.4","0.005","28","18"
"201906030600","강남구","0.032","0.01","0.4","0.005","28","19"
"201906030700","강남구","0.041","0.004","0.4","0.005","28","18"
"201906030800","강남구","0.042","0.006","0.5","0.005","31","18"
"201906030900","강남구","0.037","0.017","0.5","0.006","31","17"
"201906031000","강남구","0.037","0.025","0.5","0.005","27","15"
"201906031100","강남구","0.036","0.032","0.5","0.006","30","13"
"201906031200","강남구","0.031","0.043","0.4","0.005","33","17"
"201906031300","강남구","0.022","0.057","0.4","0.006","36","19"
"201906031400","강남구","","","","","",""
"201906031500","강남구","","","","","",""
"201906031600","강남구","0.016","0.064","0.3","0.004","16","10"
"201906031700","강남구","0.019","0.075","0.4","0.005","52","26"
"201906031800","강남구","0.027","0.071","0.4","0.005","39","25"
"201906031900","강남구","0.02","0.083","0.4","0.006","45","32"
"201906032000","강남구","0.02","0.079","0.4","0.005","44","29"
"201906032100","강남구","0.023","0.068","0.4","0.004","44","31"
"201906032200","강남구","0.031","0.047","0.5","0.006","43","28"
"201906032300","강남구","0.034","0.024","0.7","0.006","39","24"
"201906040000","강남구","0.024","0.03","0.5","0.005","24","16"
"201906040100","강남구","0.025","0.027","0.6","0.005","23","14"
"201906040200","강남구","0.022","0.028","0.5","0.004","22","14"
"201906040300","강남구","0.022","0.026","0.4","0.005","23","17"
"201906040400","강남구","0.018","0.029","0.4","0.004","23","16"
"201906040500","강남구","0.027","0.018","0.4","0.005","25","16"
"201906040600","강남구","0.035","0.009","0.4","0.006","28","19"
"201906040700","강남구","0.032","0.016","0.5","0.005","27","21"
"201906040800","강남구","0.025","0.03","0.5","0.007","24","17"
"201906040900","강남구","0.025","0.029","0.4","0.006","26","14"
"201906041000","강남구","0.02","0.032","0.4","0.007","19","12"
"201906041100","강남구","0.021","0.034","0.4","0.005","19","12"
"201906041200","강남구","0.016","0.047","0.3","0.005","21","13"
"201906041300","강남구","0.01","0.051","0.3","0.006","22","15"
"201906041400","강남구","0.014","0.047","0.3","0.004","20","14"
"201906041500","강남구","0.012","0.042","0.3","0.006","20","10"
"201906041600","강남구","0.013","0.039","0.2","0.005","21","13"
"201906041700","강남구","0.014","0.035","0.2","0.005","23","16"
"201906041800","강남구","0.017","0.029","0.2","0.006","22","15"
"201906041900","강남구","0.017","0.024","0.2","0.006","25","17"
"201906042000","강남구","0.018","0.019","0.2","0.004","23","16"
"201906042100","강남구","0.02","0.017","0.3","0.004","32","18"
"201906042200","강남구","0.018","0.018","0.2","0.005","20","14"
"201906042300","강남구","0.018","0.018","0.3","0.004","18","14"
"201906050000","강남구","0.017","0.02","0.3","0.005","21","16"
"201906050100","강남구","0.014","0.023","0.3","0.005","30","21"
"201906050200","강남구","0.013","0.026","0.4","0.004","27","20"
"201906050300","강남구","0.013","0.024","0.4","0.004","31","22"
"201906050400","강남구","0.01","0.025","0.3","0.004","28","21"
"201906050500","강남구","0.01","0.024","0.3","0.004","30","19"
"201906050600","강남구","0.012","0.021","0.3","0.004","29","23"
"201906050700","강남구","0.016","0.017","0.3","0.004","33","23"
"201906050800","강남구","0.02","0.013","0.3","0.004","32","23"
"201906050900","강남구","0.022","0.013","0.4","0.004","39","24"
"201906051000","강남구","0.025","0.014","0.4","0.005","39","27"
"201906051100","강남구","0.029","0.017","0.5","0.005","41","26"
"201906051200","강남구","0.032","0.014","0.5","0.006","44","27"
"201906051300","강남구","0.033","0.027","0.5","0.005","46","29"
"201906051400","강남구","0.03","0.058","0.4","0.005","45","29"
"201906051500","강남구","0.037","0.066","0.5","0.005","56","38"
"201906051600","강남구","0.032","0.055","0.6","0.006","67","47"
"201906051700","강남구","0.03","0.053","0.5","0.007","68","40"
"201906051800","강남구","0.029","0.055","0.4","0.005","55","37"
"201906051900","강남구","0.035","0.054","0.5","0.006","54","35"
"201906052000","강남구","0.035","0.054","0.6","0.006","56","40"
"201906052100","강남구","0.038","0.038","0.6","0.006","","40"
"201906052200","강남구","0.037","0.032","0.5","0.006","51","35"
"201906052300","강남구","0.046","0.006","0.5","0.006","43","29"
"201906060000","강남구","0.046","0.003","0.5","0.006","32","21"
"201906060100","강남구","0.036","0.01","0.6","0.005","29","19"
"201906060200","강남구","0.017","0.021","0.4","0.004","25","16"
"201906060300","강남구","0.018","0.017","0.4","0.005","26","13"
"201906060400","강남구","0.018","0.016","0.4","0.005","23","14"
"201906060500","강남구","0.026","0.007","0.6","0.004","27","18"
"201906060600","강남구","0.028","0.005","0.6","0.005","29","20"
"201906060700","강남구","0.03","0.007","0.5","0.004","34","25"
"201906060800","강남구","0.033","0.008","0.5","0.005","37","25"
"201906060900","강남구","0.039","0.009","0.6","0.005","46","30"
"201906061000","강남구","0.043","0.009","0.6","0.007","50","33"
"201906061100","강남구","0.047","0.009","0.6","0.006","58","39"
"201906061200","강남구","0.038","0.02","0.6","0.006","56","37"
"201906061300","강남구","0.038","0.022","0.6","0.007","58","33"
"201906061400","강남구","0.037","0.029","0.6","0.006","57","37"
"201906061500","강남구","0.039","0.027","0.6","0.007","67","42"
"201906061600","강남구","0.04","0.025","0.6","0.006","66","42"
"201906061700","강남구","0.045","0.019","0.7","0.005","70","45"
"201906061800","강남구","0.031","0.031","0.6","0.005","58","39"
"201906061900","강남구","0.024","0.036","0.6","0.005","57","40"
"201906062000","강남구","0.02","0.035","0.5","0.005","54","38"
"201906062100","강남구","0.012","0.046","0.3","0.004","43","28"
"201906062200","강남구","0.013","0.037","0.4","0.004","35","24"
"201906062300","강남구","0.015","0.032","0.3","0.004","36","27"
"201906070000","강남구","0.011","0.037","0.3","0.005","29","22"
"201906070100","강남구","0.008","0.045","0.2","0.005","25","17"
"201906070200","강남구","0.006","0.044","0.2","0.004","23","16"
"201906070300","강남구","0.005","0.045","0.2","0.004","22","12"
"201906070400","강남구","0.004","0.042","0.2","0.004","16","10"
"201906070500","강남구","0.005","0.045","0.2","0.004","11","9"
"201906070600","강남구","0.007","0.049","0.2","0.004","7","5"
"201906070700","강남구","0.012","0.043","0.2","0.004","6","2"
"201906070800","강남구","0.012","0.049","0.3","0.005","6","4"
"201906070900","강남구","0.012","0.042","0.3","0.005","6","4"
"201906071000","강남구","0.015","0.041","0.3","0.004","6","4"
"201906071100","강남구","0.022","0.032","0.4","0.004","9","4"
"201906071200","강남구","0.015","0.039","0.3","0.004","10","5"
"201906071300","강남구","0.014","0.038","0.3","0.005","5","4"
"201906071400","강남구","0.011","0.044","0.3","0.005","5","2"
"201906071500","강남구","0.01","0.043","0.3","0.005","7","3"
"201906071600","강남구","0.012","0.042","0.3","0.006","8","4"
"201906071700","강남구","0.011","0.038","0.3","0.005","7","1"
"201906071800","강남구","0.013","0.046","0.3","0.005","6","2"
"201906071900","강남구","0.015","0.045","0.3","0.005","8","2"
"201906072000","강남구","0.013","0.047","0.3","0.005","10","6"
"201906072100","강남구","0.016","0.045","0.3","0.005","12","6"
"201906072200","강남구","0.014","0.043","0.3","0.004","11","6"
"201906072300","강남구","0.009","0.046","0.2","0.004","13","7"
"201906080000","강남구","0.012","0.04","0.3","0.005","12","8"
"201906080100","강남구","0.019","0.028","0.3","0.004","14","7"
"201906080200","강남구","0.016","0.029","0.4","0.004","14","9"
"201906080300","강남구","0.013","0.027","0.3","0.005","16","9"
"201906080400","강남구","0.012","0.03","0.3","0.004","16","10"
"201906080500","강남구","0.012","0.028","0.2","0.004","14","9"
"201906080600","강남구","0.015","0.027","0.2","0.006","14","9"
"201906080700","강남구","0.016","0.028","0.3","0.004","16","10"
"201906080800","강남구","0.017","0.028","0.3","0.005","15","10"
"201906080900","강남구","0.019","0.026","0.3","0.005","17","11"
"201906081000","강남구","0.019","0.029","0.3","0.004","16","8"
"201906081100","강남구","0.015","0.038","0.3","0.004","20","11"
"201906081200","강남구","0.014","0.039","0.2","0.004","19","12"
"201906081300","강남구","0.017","0.043","0.3","0.004","17","9"
"201906081400","강남구","0.017","0.051","0.3","0.005","20","11"
"201906081500","강남구","0.014","0.055","0.2","0.005","19","11"
"201906081600","강남구","0.024","0.055","0.3","0.005","28","16"
