교량명,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,소재지도로명주소,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,시설물종별등급구분,상부구조형식,Type,,상하행선분리여부,교량연장,교량폭,높이,통행하중,제한속도,가변속도제한유무,제한차량,차로수,교량준공년도,최종안전점검일자,최종안전점검결과,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
미촌교,6,망산-성재,1호,3,14,영암군,,전라남도 영암군 미암면 미암리 1009,34.702019,126.599412,34.702111,126.599842,99,RSC,,38,N,19,9,3,43.2,, ,,2,2006,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
두억교,6,망산-성재,1호,3,14,영암군,,전라남도 영암군 학산면 학계리 315-2,34.70178,126.613358,34.701856,126.613901,99,RSC,,38,N,38,10,3,43.2,, ,,2,2004,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
상사1교,6,망산-성재,1호,3,14,영암군,,전라남도 영암군 학산면 상월리 930-19,34.703395,126.625764,34.703534,126.62629,99,RSC,,38,N,71,7,4,24.3,, ,,1,1981,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
상지교,6,망산-성재,1호,3,14,영암군,,전라남도 영암군 학산면 상월리 494-5,34.709416,126.6266,34.709875,126.626343,99,RSC,,38,N,56,10.5,4,43.2,, ,,2,2013,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
용산교,6,망산-성재,1호,3,14,영암군,,전라남도 영암군 학산면 용산리 1015-78,34.739375,126.613598,34.739752,126.613413,99,RSC,,38,N,30,10,3,43.2,, ,,2,2002,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
아천교,6,망산-성재,1호,3,14,영암군,,전라남도 영암군 서호면 몽해리 213-1,34.746188,126.609316,34.74658,126.608705,99,RSC,,38,N,70,9,5,43.2,, ,,2,2006,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
월암교,6,서창-월곡,2호,3,14,영암군,,전라남도 영암군 군서면 성양리 848-12,34.778897,126.648616,34.779048,126.648937,99,RSC,,38,N,35,10.5,3,43.2,, ,,2,2014,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
구림교,6,서창-월곡,2호,3,14,영암군,,전라남도 영암군 군서면 동구림리 35-31,34.764794,126.635084,34.765099,126.635278,99,RSC,,38,N,30,8,3,18,, ,,2,1981,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
화송교,6,서창-월곡,2호,3,14,영암군,,전라남도 영암군 서호면 화송리 9-3,34.737654,126.609732,34.738152,126.610256,99,RSC,,38,N,69,7.9,4,13.5,, ,,2,1981,2018-03-14,C,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
금석교,6,엄길-모정,4호,3,14,영암군,,전라남도 영암군 서호면 엄길리 1348-11,34.761819,126.601886,34.762068,126.602793,99,RSC,,38,N,84,7,5,43.2,, ,,2,2001,2018-03-14,B,영암군,061-470-2489,2018-08-03,4940000,전라남도 영암군
